raw_stage,target,k,R2,MSE,WAIC,alpha_fixed,feature_added
4_6_7_8,x_half,7,-1.0321574436000018,2.835456078604987,3459.5109200646366,0.7722741592167441,mother_y_adj_xi2_xj
4_6_7_8,x_half,8,0.545280319229408,0.6344674163721344,2132.0220553845274,0.7722741592167441,mother_x_adj_xj_pow2
4_6_7_8,x_half,9,0.545280319229408,0.6344674163721344,2134.0220553845274,0.7722741592167441,mother_y_adj_xi_xj
4_6_7_8,x_half,10,0.5442481967857945,0.635907530112251,2138.035353194845,0.7722741592167441,mother_2d_couple_yz_xi_xj2
4_6_7_8,x_half,11,0.5013428851995965,0.6957730326227308,2219.929019318271,0.7722741592167441,mother_x_adj_xj_minus_xi_pow2
4_6_7_8,x_half,12,0.5013428851995965,0.6957730326227308,2221.929019318271,0.7722741592167441,mother_y_adj_xi_xj_pow3
4_6_7_8,x_half,13,0.5038698204606149,0.6922472162699372,2219.4176562341977,0.7722741592167441,mother_2d_couple_xy_xi2_xj
4_6_7_8,x_half,14,0.5199681157058949,0.669785369501045,2192.1262447629842,0.7722741592167441,mother_2d_couple_yz_xj_minus_xi_pow2
4_6_7_8,x_half,15,0.5199681113247316,0.6697853756140537,2194.126252867598,0.7722741592167441,mother_z_z
4_6_7_8,x_half,16,0.5227308665914074,0.6659305211394336,2191.000731361991,0.7722741592167441,mother_2d_couple_xz_xi2_xj
4_6_7_8,x_half,17,0.526331490120995,0.6609065945210064,2186.276065455906,0.7722741592167441,mother_x_x_x
4_6_7_8,x_half,18,0.5339757960568853,0.6502405441119207,2173.8281649541677,0.7722741592167441,mother_x_adj_xi_xj_pow2
4_6_7_8,x_half,19,0.5350403778754318,0.6487551400168409,2173.7973046095626,0.7722741592167441,mother_y_adj_xj_pow3
4_6_7_8,x_half,20,0.5425437107723151,0.638285788373213,2161.350228194641,0.7722741592167441,mother_z_adj_xj_pow3
4_6_7_8,y_mean,1,0.5756456522989846,0.952226408169069,2478.5650604732036,0.7296897803152862,mother_x_adj_xj
4_6_7_8,y_mean,2,0.5756456522989846,0.952226408169069,2480.5650604732036,0.7296897803152862,mother_y_adj_xi_xj
4_6_7_8,y_mean,3,0.7202152264779027,0.62782071491595,2112.6702674725484,0.7296897803152862,mother_x
