raw_stage,agg_stage,target,target_index,K,K_rule,R2,MSE,WAIC,features,coefs,equation_latex
14_to_15,12_to_15,y_mean,3,6,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.1246636015606786,0.2169087939320008,255.58536715667464,mother_z_adj_xj_pow2;mother_y;mother_y_adj_xj_pow2;mother_y_adj_xj_pow3;mother_x_adj_xj;mother_2d_couple_xz_xj_minus_xi_pow2,-0.0215252261196;0.244690223388;-0.0695821738295;0.00784707018747;-0.445437112265;-0.0111640630271,"\widehat{y_{\mathrm{mean}}} &= - 0.02\,\langle z_j^2\rangle_N + 0.24\,m_y - 0.07\,\langle y_j^2\rangle_N\\&\quad + 7.85\times 10^{-3}\,\langle y_j^3\rangle_N - 0.45\,\langle x_j\rangle_N - 0.01\,(m_z-m_x)^2"
14_to_15,12_to_15,y_half,4,1,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.0172110074673295,0.1579535958313271,186.5906928886683,mother_y_adj_xj_pow2,0.0328503424658,"\widehat{y_{\mathrm{half}}} &= 0.03\,\langle y_j^2\rangle_N"
14_to_15,12_to_15,z_mean,5,7,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.2753863444558522,0.2487149028640146,283.03580506647967,mother_z_adj_xj_minus_xi_pow2;mother_2d_couple_yz_xj_minus_xi_pow2;mother_y_adj_xj_pow3;mother_y_adj_xi2_xj;mother_z_adj_xi_xj_pow3;mother_z_adj_xi_xj;mother_z,0.0235675464444;0.009858313552;0.0171686039593;-0.0770498030263;-4.84007158088e-05;0.13566881224;0.28511127245,"\widehat{z_{\mathrm{mean}}} &= 0.02\,\langle (z_j-m_z)^2\rangle_N + 9.86\times 10^{-3}\,(m_z-m_y)^2 + 0.02\,\langle y_j^3\rangle_N\\&\quad - 0.08\,\langle m_y^2y_j\rangle_N - 4.84\times 10^{-5}\,\langle (m_zz_j)^3\rangle_N + 0.14\,\langle m_zz_j\rangle_N\\&\quad + 0.29\,m_z"
14_to_15,12_to_15,z_half,6,8,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.1350347312886555,0.5469427704355398,431.6106685494699,mother_x_adj_xj_pow2;mother_2d_couple_xy_xi_xj_pow2;mother_z_adj_xj_minus_xi_pow3;mother_z;mother_2d_couple_xz_xi_xj_pow2;mother_2d_couple_xz_xi_xj2;mother_x_x_x;mother_x,0.0333463119656;0.000618953785972;-0.0032598743281;-1.040757961;-0.00545244819566;0.0516816363115;0.00447715845143;-0.377442773378,"\widehat{z_{\mathrm{half}}} &= 0.03\,\langle x_j^2\rangle_N + 6.19\times 10^{-4}\,(m_xm_y)^2 - 3.26\times 10^{-3}\,\langle (z_j-m_z)^3\rangle_N\\&\quad - 1.04\,m_z - 5.45\times 10^{-3}\,(m_xm_z)^2 + 0.05\,m_xm_z^2\\&\quad + 4.48\times 10^{-3}\,m_x^3 - 0.38\,m_x"
15_to_24,15_to_24,x_mean,1,8,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.9960844901973313,0.557559926638185,3788.680034216468,mother_x;mother_2d_couple_xy_xi_xj;mother_y_adj_xj_minus_xi_pow3;mother_y_adj_xj_pow2;mother_z_adj_xj;mother_z_adj_xi_xj;mother_x_adj_xj;mother_2d_couple_xy_xj_minus_xi_pow2,0.65926373969;0.00496840505096;0.00142503227843;0.0649924034849;-0.171711856983;0.00830231591581;0.51148274431;-0.00404918633424,"\widehat{x_{\mathrm{mean}}} &= 0.66\,m_x + 4.97\times 10^{-3}\,m_xm_y + 1.43\times 10^{-3}\,\langle (y_j-m_y)^3\rangle_N\\&\quad + 0.06\,\langle y_j^2\rangle_N - 0.17\,\langle z_j\rangle_N + 8.30\times 10^{-3}\,\langle m_zz_j\rangle_N\\&\quad + 0.51\,\langle x_j\rangle_N - 4.05\times 10^{-3}\,(m_y-m_x)^2"
15_to_24,15_to_24,x_half,2,8,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.7964275110561823,0.4241631138398478,3330.9215442760087,mother_y_adj_xj_minus_xi_pow2;mother_2d_couple_yz_xj_minus_xi_pow2;mother_y_adj_xj_pow2;mother_2d_couple_xz_xi_xj;mother_y_adj_xj;mother_x_x;mother_x_adj_xj_pow2;mother_2d_couple_xy_xi_xj,0.0287232532473;0.00530859406849;0.0779217670631;0.00414782095624;0.206134093039;-0.00717864503468;0.0242071638068;0.0136064843002,"\widehat{x_{\mathrm{half}}} &= 0.03\,\langle (y_j-m_y)^2\rangle_N + 5.31\times 10^{-3}\,(m_z-m_y)^2 + 0.08\,\langle y_j^2\rangle_N\\&\quad + 4.15\times 10^{-3}\,m_xm_z + 0.21\,\langle y_j\rangle_N - 7.18\times 10^{-3}\,m_x^2\\&\quad + 0.02\,\langle x_j^2\rangle_N + 0.01\,m_xm_y"
15_to_24,15_to_24,y_mean,3,8,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.9578794475172058,0.7154235624122076,4206.016224208988,mother_y_adj_xj_minus_xi;mother_x_adj_xj;mother_2d_couple_xz_xi_xj;mother_y;mother_2d_couple_yz_xj_minus_xi_pow2;mother_2d_couple_yz_xi_xj2;mother_2d_couple_xy_xi2_xj;mother_y_adj_xi_xj,0.494619427707;0.141802916984;-0.010546883068;1.66083403426;-0.00790375465502;-0.00349286281264;-0.00115944261685;0.10013186187,"\widehat{y_{\mathrm{mean}}} &= 0.49\,\langle y_j-m_y\rangle_N + 0.14\,\langle x_j\rangle_N - 0.01\,m_xm_z\\&\quad + 1.66\,m_y - 7.90\times 10^{-3}\,(m_z-m_y)^2 - 3.49\times 10^{-3}\,m_ym_z^2\\&\quad - 1.16\times 10^{-3}\,m_x^2m_y + 0.10\,\langle m_yy_j\rangle_N"
15_to_24,15_to_24,y_half,4,7,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.753716775776879,0.3708038698517243,3103.8609263517105,mother_x_adj_xi_xj;mother_z_adj_xi_xj;mother_2d_couple_xz_xi_xj;mother_2d_couple_xy_xi2_xj;mother_y_y;mother_3d_couple_prod_xyz;mother_2d_couple_yz_xi_xj,0.0132931452214;0.021185780934;0.00405707523308;0.000857244208308;-0.0140628818512;0.00164139299762;0.00853935276701,"\widehat{y_{\mathrm{half}}} &= 0.01\,\langle m_xx_j\rangle_N + 0.02\,\langle m_zz_j\rangle_N + 4.06\times 10^{-3}\,m_xm_z\\&\quad + 8.57\times 10^{-4}\,m_x^2m_y - 0.01\,m_y^2 + 1.64\times 10^{-3}\,m_xm_ym_z\\&\quad + 8.54\times 10^{-3}\,m_ym_z"
15_to_24,15_to_24,z_mean,5,8,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.985024751737322,0.7870870476573976,4365.823105773104,mother_z;mother_2d_couple_xy_xi_xj;mother_y;mother_z_adj_xj;mother_y_y;mother_2d_couple_yz_xi2_xj;mother_2d_couple_xy_xj_minus_xi_pow2;mother_2d_couple_xz_xi_xj,0.790250538689;0.0165134638587;0.252984356108;0.770369735203;0.0321393457206;-0.00510860309343;-0.00221205542982;-0.00469379426657,"\widehat{z_{\mathrm{mean}}} &= 0.79\,m_z + 0.02\,m_xm_y + 0.25\,m_y\\&\quad + 0.77\,\langle z_j\rangle_N + 0.03\,m_y^2 - 5.11\times 10^{-3}\,m_y^2m_z\\&\quad - 2.21\times 10^{-3}\,(m_y-m_x)^2 - 4.69\times 10^{-3}\,m_xm_z"
15_to_24,15_to_24,z_half,6,6,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.6306369946135766,0.3532679211335105,3020.761455724509,mother_x_adj_xj_pow2;mother_2d_couple_xz_xj_minus_xi_pow2;mother_2d_couple_xz_xi_xj2;mother_x_x_x;mother_2d_couple_xy_xj_minus_xi_pow2;mother_y_adj_xj_pow2,0.00182652661503;0.00199712748338;0.000496342677854;9.93873481502e-05;0.00256032715448;0.0350019673001,"\widehat{z_{\mathrm{half}}} &= 1.83\times 10^{-3}\,\langle x_j^2\rangle_N + 2.00\times 10^{-3}\,(m_z-m_x)^2 + 4.96\times 10^{-4}\,m_xm_z^2\\&\quad + 9.94\times 10^{-5}\,m_x^3 + 2.56\times 10^{-3}\,(m_y-m_x)^2 + 0.04\,\langle y_j^2\rangle_N"
