feature_added,R2,MSE,WAIC,R2_gain,WAIC_gain,MSE_drop,prev_R2,prev_WAIC,prev_MSE,composite_score,k,raw_stage,target,target_index
mother_y_adj_xi_xj_pow3,0.916122474914957,0.2284691990798627,1247.032594963313,6.1765040394679e-05,-1.346342519035943,0.000168238265206,0.9160607098745625,1245.686252444277,0.2286374373450688,0.4999999919048059,19,4_6_7_8,z_half,6
mother_2d_couple_xz_xj_minus_xi_pow2,0.9161435850305952,0.2284116984417898,1248.8090768991724,2.111011563821208e-05,-1.776481935859465,5.75006380729437e-05,0.916122474914957,1247.032594963313,0.2284691990798627,0.4999999763146737,20,4_6_7_8,z_half,6
mother_x,0.9797517176488718,1.6596626964982315,2918.396547234294,1.5813896517921575,3809.260973563687,129.61955825164253,-0.601637934143286,6727.65752079798,131.27922094814076,0.9999999999996836,1,8_to_12,x_mean,1
mother_y_adj_xj,0.9896240988841976,0.8504670038588265,2337.3912548423928,0.0098723812353258,581.0052923919011,0.8091956926394053,0.9797517176488718,2918.396547234294,1.6596626964982315,0.9999999999493528,2,8_to_12,x_mean,1
mother_x_adj_xj,0.9930924479358528,0.5661816783360767,1984.6000901099096,0.003468349051655,352.79116473248314,0.2842853255227497,0.9896240988841976,2337.3912548423928,0.8504670038588265,0.9999999998558378,3,8_to_12,x_mean,1
mother_z_adj_xi_xj2,0.994422164830396,0.4571906296877544,1800.1537794515416,0.0013297168945431,184.446310658368,0.1089910486483222,0.9930924479358528,1984.6000901099096,0.5661816783360767,0.9999999996239776,4,8_to_12,x_mean,1
mother_2d_couple_xz_xi_xj,0.9946506154061112,0.4384655402242007,1765.6874252203438,0.0002284505757152,34.46635423119778,0.0187250894635536,0.994422164830396,1800.1537794515416,0.4571906296877544,0.9999999978113284,5,8_to_12,x_mean,1
mother_y_adj_xi_xj2,0.9947069265234388,0.4338499654704492,1758.459528388033,5.631111732751215e-05,7.227896832310762,0.0046155747537515,0.9946506154061112,1765.6874252203438,0.4384655402242007,0.9999999911206896,6,8_to_12,x_mean,1
mother_2d_couple_xy_xi2_xj,0.9948243120003356,0.4242283939347638,1740.9033609625803,0.0001173854768967,17.556167425452713,0.0096215715356854,0.9947069265234388,1758.459528388033,0.4338499654704492,0.9999999957405008,7,8_to_12,x_mean,1
mother_2d_couple_xy_xi_xj2,0.9949757741431068,0.411813707892271,1717.0041819503815,0.0001514621427711,23.8991790121986,0.0124146860424927,0.9948243120003356,1740.9033609625803,0.4242283939347638,0.9999999966988242,8,8_to_12,x_mean,1
mother_y,0.9949924280796448,0.4104486579219501,1716.1089389790068,1.6653936538268965e-05,0.8952429713749552,0.0013650499703209,0.9949757741431068,1717.0041819503815,0.411813707892271,0.9999999699765116,9,8_to_12,x_mean,1
mother_y_adj_xi2_xj,0.9950235698699046,0.4078961022681,1712.6690905019314,3.1141790259647806e-05,3.4398484770754294,0.00255255565385,0.9949924280796448,1716.1089389790068,0.4104486579219501,0.9999999839442592,10,8_to_12,x_mean,1
mother_2d_couple_xz_xi_xj_pow3,0.995035906440284,0.4068849278234593,1712.5047186379757,1.2336570379356536e-05,0.1643718639556937,0.0010111744446406,0.9950235698699046,1712.6690905019314,0.4078961022681,0.9999999594670586,11,8_to_12,x_mean,1
mother_x_adj_xi_xj2,0.9950597918291066,0.4049271474975581,1710.2988493100852,2.388538882269753e-05,2.2058693278904684,0.0019577803259012,0.995035906440284,1712.5047186379757,0.4068849278234593,0.9999999790664746,12,8_to_12,x_mean,1
mother_3d_couple_prod_sq_xyz2,0.9950981365699312,0.4017841976487941,1705.5041856391738,3.8344740824425294e-05,4.7946636709114046,0.003142949848764,0.9950597918291066,1710.2988493100852,0.4049271474975581,0.999999986960298,13,8_to_12,x_mean,1
mother_2d_couple_xz_xj_minus_xi_pow2,0.9951161312910242,0.4003092494623602,1704.2971870708725,1.79947210930953e-05,1.2069985683012874,0.0014749481864338,0.9950981365699312,1705.5041856391738,0.4017841976487941,0.9999999722136608,14,8_to_12,x_mean,1
mother_2d_couple_xy_xj_minus_xi_pow2,0.9951407867568408,0.3982883493103826,1701.883878799329,2.465546581664757e-05,2.4133082715434284,0.0020209001519775,0.9951161312910242,1704.2971870708725,0.4003092494623602,0.9999999797203148,15,8_to_12,x_mean,1
mother_x_adj_xj_pow3,0.9951934001181674,0.393975863361363,1694.3907707483918,5.261336132655892e-05,7.49310805093728,0.0043124859490196,0.9951407867568408,1701.883878799329,0.3982883493103826,0.999999990496644,16,8_to_12,x_mean,1
mother_z_adj_xj_pow3,0.9952093111311252,0.392671707571163,1693.4994508410507,1.5911012957947612e-05,0.8913199073410851,0.0013041557901999,0.9951934001181674,1694.3907707483918,0.393975863361363,0.9999999685746662,17,8_to_12,x_mean,1
mother_y_adj_xi_xj,0.9952168976771936,0.3920498717390569,1694.117455051991,7.586546068139022e-06,-0.6180042109406259,0.000621835832106,0.9952093111311252,1693.4994508410507,0.392671707571163,0.4999999340938643,18,8_to_12,x_mean,1
mother_x_adj_xi_xj,0.9952184628161816,0.3919215841762799,1695.8320702847373,1.5651389880799726e-06,-1.7146152327459276,0.0001282875627769,0.9952168976771936,1694.117455051991,0.3920498717390569,0.4999996805397576,19,8_to_12,x_mean,1
mother_z_adj_xi_xj_pow3,0.9952188168484236,0.3918925657096524,1697.7675036960518,3.540322420780839e-07,-1.9354334113145344,2.901846662750618e-05,0.9952184628161816,1695.8320702847373,0.3919215841762799,0.499998587703242,20,8_to_12,x_mean,1
mother_y_adj_xj_minus_xi_pow2,0.0636436120976239,1.6552832609773085,2916.092515708596,5.432091694120573,1669.7242184139222,9.602807829948953,-5.368448082022949,4585.816734122518,11.25809109092626,0.9999999999999076,1,8_to_12,x_half,2
mother_z_adj_xj,0.4254437681346473,1.0156958668562763,2492.2092956381643,0.3618001560370234,423.8832200704314,0.6395873941210322,0.0636436120976239,2916.092515708596,1.6552832609773085,0.9999999999986168,2,8_to_12,x_half,2
mother_y_y,0.5377461126320968,0.8171686891525276,2304.563515985117,0.1123023444974494,187.6457796530472,0.1985271777037487,0.4254437681346473,2492.2092956381643,1.0156958668562763,0.9999999999955452,3,8_to_12,x_half,2
mother_z_adj_xi_xj2,0.6118412658260968,0.686183875692415,2154.225189895249,0.0740951531939999,150.33832608986768,0.1309848134601126,0.5377461126320968,2304.563515985117,0.8171686891525276,0.9999999999932484,4,8_to_12,x_half,2
mother_x_adj_xj_minus_xi_pow2,0.6294211941637242,0.6551062203440656,2115.8095235463124,0.0175799283376274,38.415666348937066,0.0310776553483493,0.6118412658260968,2154.225189895249,0.686183875692415,0.9999999999715454,5,8_to_12,x_half,2
mother_y_adj_xj_pow3,0.6576994342771202,0.6051161758328494,2048.5928447846304,0.0282782401133959,67.21667876168203,0.0499900445112162,0.6294211941637242,2115.8095235463124,0.6551062203440656,0.9999999999823111,6,8_to_12,x_half,2
mother_y_adj_xi_xj,0.6620000613209445,0.5975135620745389,2039.5677265749573,0.0043006270438242,9.02511820967311,0.0076026137583105,0.6576994342771202,2048.5928447846304,0.6051161758328494,0.9999999998836824,7,8_to_12,x_half,2
mother_x_adj_xj_pow3,0.6649716654186715,0.5922603843477994,2033.8674390393785,0.002971604097727,5.700287535578809,0.0052531777267395,0.6620000613209445,2039.5677265749573,0.5975135620745389,0.999999999831653,8,8_to_12,x_half,2
mother_z_adj_xj_pow2,0.6826090102695939,0.5610812285509148,1988.7090781078875,0.0176373448509223,45.15836093149119,0.0311791557968845,0.6649716654186715,2033.8674390393785,0.5922603843477994,0.99999999997164,9,8_to_12,x_half,2
mother_2d_couple_yz_xi_xj,0.6852331636159091,0.5564422714566785,1983.469509863636,0.0026241533463152,5.239568244251586,0.0046389570942363,0.6826090102695939,1988.7090781078875,0.5610812285509148,0.9999999998093668,10,8_to_12,x_half,2
